stage	exit_code	seconds	log
source-preflight	0	0	source-preflight.log
snapshot	0	2	snapshot.log
toolchain	0	3	toolchain.log
frozen-install	0	9	frozen-install.log
acceptance-layout	0	0	acceptance-layout.log
deploy-guards	0	8	deploy-guards.log
version-guards	0	2	version-guards.log
local-ci-guards	0	13	local-ci-guards.log
commerce-parity-guards	0	1	commerce-parity-guards.log
browser-extension-tests	0	1	browser-extension-tests.log
backend-unit	0	534	backend-unit.log
backend-integration	0	417	backend-integration.log
backend-lint	0	252	backend-lint.log
frontend-lint	0	16	frontend-lint.log
frontend-typecheck	0	23	frontend-typecheck.log
frontend-tests	0	99	frontend-tests.log
frontend-build	0	55	frontend-build.log
backend-security	0	15	backend-security.log
frontend-security	0	2	frontend-security.log
